landslide_id,longitude,latitude,utm_x,utm_y,label
LS_00492,80.4260425567627,7.145772933959961,436624.6537057628,789903.0956867166,1
LS_00493,80.42188102006912,7.140827178955078,436164.44310616323,789356.9038259395,1
LS_00498,80.42878341674805,7.137628555297852,436926.1883067375,789002.3374995261,1
LS_00501,80.4135851201998,7.113090726227487,435244.4898952488,786291.7190751666,1
LS_00503,80.42542376885046,7.111034393310547,436551.5466755417,786062.746148779,1
LS_00506,80.4378801981608,7.131376266479492,437929.84556909016,788309.8977533595,1
LS_00507,80.4450671672821,7.134368896484375,438723.864293838,788639.779190318,1
LS_00508,80.45237796956843,7.126243591308594,439530.0874678882,787740.5451190473,1
LS_00511,80.39810562133789,7.073503494262695,433529.41110999417,781917.4298372462,1
LS_00512,80.38669012465598,7.059900938810831,432266.70647497533,780415.2725411002,1
LS_00514,80.39446425437927,7.062171936035156,433125.6307308969,780665.2152698482,1
LS_00515,80.40339810507638,7.066415786743164,434112.9063774561,781133.1117208671,1
LS_00516,80.4090830485026,7.064132690429688,434740.43773574615,780879.9090804678,1
LS_00520,80.41873127680559,7.071090698242188,435806.9629541235,781647.7930538282,1
LS_00521,80.41299314744819,7.094780177424172,435176.55352403945,784267.5216235273,1
LS_00522,80.4076279534234,7.082780838012695,434582.35947742587,782941.715234902,1
LS_00524,80.40022792816163,7.088373184204102,433765.91914394905,783561.0134076603,1
LS_00525,80.43972385138795,7.077718734741211,438126.25650115876,782377.6928366566,1
LS_00526,80.45799228123256,7.102626800537109,440146.99412029266,785128.9326710781,1
LS_00527,80.46600303649902,7.082357406616211,441029.05490800197,782887.0904958122,1
LS_00528,80.42681485956365,7.045862197875977,436696.28265011916,778857.6194073944,1
LS_00530,80.42414919535318,7.037765502929688,436400.76876388956,777962.8742515517,1
LS_00532,80.41841556912377,7.0351409912109375,435767.14256868896,777673.5122618688,1
LS_00533,80.38370381868802,7.021490097045898,431931.2906535984,776169.2749368767,1
LS_00534,80.35498305729458,7.110134124755859,428772.5821934507,785973.4671070349,1
LS_00535,80.31842752603384,7.113092422485352,424736.15790644527,786306.3056569921,1
LS_00536,80.4946448802948,7.124645233154297,444197.2443008564,787558.5238352438,1
LS_00538,80.51465155861595,7.113746643066406,446405.2265637398,786351.3051576501,1
LS_00539,80.53235816955566,7.1112213134765625,448360.2463780894,786070.1144979863,1
LS_00541,80.54652995447958,7.14044189453125,449928.38196688105,789298.9071933746,1
LS_00543,80.54171514511108,7.144201278686523,449397.13881812757,789715.0354071674,1
LS_00545,80.55671934423776,7.152458190917969,451054.78291228355,790626.2197373176,1
LS_00546,80.55005232493082,7.155225753784179,450318.9227773065,790932.8899238459,1
LS_00547,80.54162543160575,7.184303283691406,449391.65598109405,794148.3524775164,1
LS_00549,80.53565002716694,7.186132431030273,448732.1128912256,794351.2308597285,1
LS_00553,80.53138219393216,7.17323112487793,448259.44238652545,792925.458597527,1
LS_00554,80.5445146220071,7.240501403808594,449716.8539809652,800360.789825897,1
LS_00555,80.51682207319472,7.228322982788086,446658.2464993827,799017.6036353094,1
LS_00556,80.50757722854614,7.213836669921875,445635.88210223615,797417.2124308727,1
LS_00557,80.5027644057013,7.219661293495024,445105.22925032914,798061.7102860373,1
LS_00558,80.47463130950928,7.286098480224609,442007.7578004499,805409.9754438348,1
LS_00559,80.4793062210083,7.294301986694336,442524.8525282411,806316.29505193,1
LS_00560,80.47703239473401,7.299944243295888,442274.5797492917,806940.3505413325,1
LS_00561,80.46704750061035,7.308248519897461,441173.49728676525,807859.7008114969,1
LS_00563,80.48981778761919,7.312150955200195,443687.4026073169,808288.213398805,1
LS_00565,80.49958923127916,7.308341979980469,444765.5083708597,807865.9124154628,1
LS_00566,80.42170492808023,7.348995208740234,436174.292542177,812370.5679809072,1
LS_00567,80.41574340396457,7.351896286010742,435516.72288390854,812692.1470332249,1
LS_00568,80.410209514878,7.377836227416992,434909.7215265684,815560.7118350271,1
LS_00569,80.41974547931126,7.399856567382813,435965.33278135303,817993.7668501601,1
LS_00570,80.41955500004383,7.383712265528583,435941.9852047151,816208.9780707958,1
LS_00571,80.40824728012085,7.413234710693359,434698.3612432201,819474.4487769692,1
LS_00572,80.40708285630352,7.419260025024414,434570.7490151555,820140.7446055581,1
LS_00574,80.41882010868618,7.425264358520508,435866.88503833546,820802.8345633097,1
LS_00575,80.41871121724446,7.438764572143555,435856.82717210124,822295.3550270319,1
