landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00490,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00490.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00490.png,
LS_00491,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00491.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00491.png,
LS_00492,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00492.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00492.png,
LS_00493,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00493.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00493.png,
LS_00498,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,15.58,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00498.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00498.png,
LS_00501,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00501.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00501.png,
LS_00503,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00503.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00503.png,
LS_00506,success,S2C_MSIL2A_20250728T045721_R119_T44NMN_20250728T095413,28.22125,1.68,2025-07-28,2025-06-01/2025-08-31,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00506.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00506.png,
LS_00507,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00507.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00507.png,
LS_00508,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00508.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00508.png,
LS_00511,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,19.38,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00511.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00511.png,
LS_00512,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00512.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00512.png,
