landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00073,success,S2A_MSIL2A_20251204T050621_R076_T44NMP_20251204T062312,24.902482,0.2,2025-12-04,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00073.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00073.png,
LS_00074,success,S2A_MSIL2A_20251204T050621_R076_T44NMP_20251204T062312,24.902482,5.27,2025-12-04,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00074.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00074.png,
LS_00075,success,S2B_MSIL2A_20260116T050559_R076_T44NMP_20260116T072633,37.76229,0.0,2026-01-16,2025-12-16/2026-01-31,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00075.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00075.png,
LS_00076,success,S2A_MSIL2A_20251204T050621_R076_T44NMP_20251204T062312,24.902482,6.35,2025-12-04,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00076.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00076.png,
LS_00077,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00077.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00077.png,
LS_00078,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00078.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00078.png,
LS_00079,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00079.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00079.png,
LS_00080,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00080.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00080.png,
LS_00081,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00081.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00081.png,
LS_00082,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00082.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00082.png,
LS_00083,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,18.75,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00083.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00083.png,
LS_00084,success,S2C_MSIL2A_20251222T050611_R076_T44NMP_20251222T072411,47.848293,14.5,2025-12-22,2025-12-16/2026-01-31,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00084.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00084.png,
